style,image,preview_title,preview_caption
Cyberpunk,assets/explore-cyberpunk-studio.png,Neon Strategy Studio,A creative workspace overlooking a rainy neon city with holographic trend boards.
Anime,assets/explore-anime-studio.png,Animation Mood Room,A twilight animation room with color studies storyboards and emotional lighting.
3D Render,assets/explore-3d-material-lab.png,Material Lab,A futuristic lab for testing glass metal ceramic and liquid material languages.
Retro Futurism,assets/explore-retro-futurism-control-room.png,Analog Future Control Room,A chrome and amber control room that turns nostalgia into speculative design.
Minimalism,assets/explore-minimalism-gallery.png,Quiet Design Gallery,A calm gallery preview built around negative space soft daylight and restraint.
Dark Fantasy,assets/explore-dark-fantasy-map-room.png,Worldbuilding Archive,A shadowy fantasy map room for building lore atmosphere and dramatic mood.
Documentary Realism,assets/explore-documentary-research-desk.png,Synthetic Research Desk,A grounded editorial research desk for realistic AI visual storytelling.
Surreal Editorial,assets/explore-surreal-editorial-set.png,Surreal Production Set,A dreamlike fashion set under construction with floating panels and studio light.
Luxury Fashion,assets/explore-luxury-fashion-atelier.png,Premium Atelier,A luxury styling workspace with refined fabrics accessories and warm campaign light.
AI Cinematic Storyboard,assets/explore-cinematic-storyboard-wall.png,Previsualization Wall,A cinematic planning room for storyboard frames motion cues and AI video direction.
