period,style,keyword,prompt
2022-08-06,3D Render,octane render," Vintage astronauts Taking photos, Alexander Jansson style, realistic, many details, ultra detailed, octane render, real engine 5"
2022-08-06,3D Render,unreal engine," giant chicken in a forest during the golden hour in autumn, volumetric sun rays and dust,  highly detailed 4K fantasy matte painting by Thomas Kinkade, ArtStation, CGSociety, Unreal Engine"
2022-08-06,AI Cinematic Storyboard,film still,"A film still from a 1990s sci-fi film :: A Robot Chef cooking a meal on a high end Gas Stove Oven on board a space ship, spaceship, oven, robot chef, fancy, futuristic, technology, realistic, 80k, 8mm, Grainy, Panavision"
2022-08-06,AI Cinematic Storyboard,movie still,"A movie still of Keanu Reeves signing divorce papers while crying. Ewan McGregor observing from the foreground by ismail inceoglu, craig mullins, can basdogan, frank frazetta, mike franchina, ariel perez, bar tosz domiczek, iain mccaig, Breath of the wild, studio ghibli"
2022-08-06,Anime,anime," tiny miniature anime city, trafic, beautiful,  people, sunny, depth of field, tilt shift effect"
2022-08-06,Anime,anime,480x854 Sky Full Of Stars Anime Android One Hd 4k
2022-08-06,Cyberpunk,cyberpunk,15mm wide-angle lens photo of a 2050 cyberpunk girl holding up a genetic hybrid pet to the camera
2022-08-06,Cyberpunk,cyberpunk,15mm wide-angle lens photo of a 2050 cyberpunk girl holding up a genetic hybrid pet to the camera
2022-08-06,Dark Fantasy,dark fantasy,256 color palette. Dark Fantasy inspired.
2022-08-06,Dark Fantasy,gothic,"3d render of star trek uss enterprise ncc-1701-d as an ominous wwii warhammer bfg imperium battlecruiser in space decorated with gothic cathedral ornamentation, golden accents, and a big snowplow at the front of the ship, painted miniature with nacelles and saucer section"
2022-08-06,Documentary Realism,film grain,"A house made of trees in a redwood forest, hasselblad DSLR, 1600 ISO, 10mm lens, film grain, hypperrealistic, photorealistic, gigapixel maximum upscale, megascans, 8k, cinema4D, octane render, epic composition"
2022-08-06,Documentary Realism,film grain,A photography of a woman from behind standing inside a subway train. The train is full. Neo Tokyo style. Cinematic frame. Cinestill 800T film. Lens flare. Contrast. Film grain. Swirly bokeh.
2022-08-06,Luxury Fashion,vogue,"Extreme Close-Up (ECU) vintage black and white portrait photo of a woman dressing in white robes wearing white masks standing in the field, cinematic lighting, cinematic composition, cinematic atmosphere, misty foggy. Vogue photography Sigma 150-600mm f/5-6.3 lens, portrait winning photograph."
2022-08-06,Luxury Fashion,vogue,"Extreme Close-Up (ECU) vintage black and white portrait photo of a woman dressing in white robes wearing white masks standing in the field, cinematic lighting, cinematic composition, cinematic atmosphere, misty foggy. Vogue photography Sigma 150-600mm f/5-6.3 lens, portrait winning photograph."
2022-08-06,Minimalism,minimalist,"3D minimalist modern logo Normal with gradients and vibrant colors, rendered in blender, high resolution"
2022-08-06,Minimalism,minimalist,"A Samsung minimalist flagship store, concrete walls, floor and high ceilings, curved glass furniture with large digital screens, display tables with phones and tablets, concrete flooring, a few plants in the background, retaildesignblog.net, Architectural photography. 14mm. Cinematic moody lighting. High Res 8K. award "
2022-08-06,Retro Futurism,vaporwave,3D octane render of glossy vaporwave globe floating in a pastel puffy cloud sky
2022-08-06,Retro Futurism,synthwave,"A scene from 2001 a space odyssey, rendered by Beeple, synthwave style, environment concept, digital art, unreal engine, WLOP, trending on artstation, 4K UHD image,"
2022-08-06,Surreal Editorial,surreal,"A beautiful but eerie forest, shrouded in mist that is filled with scary glowing monsters, in the style of Keith Thompson and Zdzislaw Beksinski, Artstation HD, 8k, Surrealistic digital artwork,"
2022-08-06,Surreal Editorial,surreal,"A beautiful but eerie forest, shrouded in mist that is filled with scary glowing monsters, in the style of Keith Thompson and Zdzislaw Beksinski, Artstation HD, 8k, Surrealistic digital artwork,"
