period,style,tool,keyword,intent,prompt_count,source
2022-08-06,3D Render,Stable Diffusion,3d render,Rendering,34,DiffusionDB 2M metadata.parquet
2022-08-06,3D Render,Stable Diffusion,blender,Rendering,4,DiffusionDB 2M metadata.parquet
2022-08-06,3D Render,Stable Diffusion,isometric,Rendering,29,DiffusionDB 2M metadata.parquet
2022-08-06,3D Render,Stable Diffusion,octane render,Rendering,104,DiffusionDB 2M metadata.parquet
2022-08-06,3D Render,Stable Diffusion,unreal engine,Rendering,120,DiffusionDB 2M metadata.parquet
2022-08-06,3D Render,Stable Diffusion,zbrush,Rendering,1,DiffusionDB 2M metadata.parquet
2022-08-06,AI Cinematic Storyboard,Stable Diffusion,cinematic still,Cinematic,2,DiffusionDB 2M metadata.parquet
2022-08-06,AI Cinematic Storyboard,Stable Diffusion,film still,Cinematic,33,DiffusionDB 2M metadata.parquet
2022-08-06,AI Cinematic Storyboard,Stable Diffusion,movie still,Cinematic,10,DiffusionDB 2M metadata.parquet
2022-08-06,Anime,Stable Diffusion,anime,Illustration,165,DiffusionDB 2M metadata.parquet
2022-08-06,Anime,Stable Diffusion,manga,Illustration,12,DiffusionDB 2M metadata.parquet
2022-08-06,Anime,Stable Diffusion,studio ghibli,Illustration,24,DiffusionDB 2M metadata.parquet
2022-08-06,Cyberpunk,Stable Diffusion,cyberpunk,Aesthetic,50,DiffusionDB 2M metadata.parquet
2022-08-06,Cyberpunk,Stable Diffusion,cyborg,Aesthetic,13,DiffusionDB 2M metadata.parquet
2022-08-06,Cyberpunk,Stable Diffusion,neon city,Aesthetic,1,DiffusionDB 2M metadata.parquet
2022-08-06,Dark Fantasy,Stable Diffusion,dark fantasy,Worldbuilding,4,DiffusionDB 2M metadata.parquet
2022-08-06,Dark Fantasy,Stable Diffusion,dark forest,Worldbuilding,5,DiffusionDB 2M metadata.parquet
2022-08-06,Dark Fantasy,Stable Diffusion,gothic,Worldbuilding,10,DiffusionDB 2M metadata.parquet
2022-08-06,Dark Fantasy,Stable Diffusion,necromancer,Worldbuilding,2,DiffusionDB 2M metadata.parquet
2022-08-06,Documentary Realism,Stable Diffusion,candid photo,Photography,2,DiffusionDB 2M metadata.parquet
2022-08-06,Documentary Realism,Stable Diffusion,documentary,Photography,1,DiffusionDB 2M metadata.parquet
2022-08-06,Documentary Realism,Stable Diffusion,film grain,Photography,10,DiffusionDB 2M metadata.parquet
2022-08-06,Luxury Fashion,Stable Diffusion,luxury,Commercial,2,DiffusionDB 2M metadata.parquet
2022-08-06,Luxury Fashion,Stable Diffusion,vogue,Commercial,3,DiffusionDB 2M metadata.parquet
2022-08-06,Minimalism,Stable Diffusion,minimalist,Design,4,DiffusionDB 2M metadata.parquet
2022-08-06,Retro Futurism,Stable Diffusion,retro futurism,Aesthetic,1,DiffusionDB 2M metadata.parquet
2022-08-06,Retro Futurism,Stable Diffusion,retrofuturism,Aesthetic,1,DiffusionDB 2M metadata.parquet
2022-08-06,Retro Futurism,Stable Diffusion,synthwave,Aesthetic,25,DiffusionDB 2M metadata.parquet
2022-08-06,Retro Futurism,Stable Diffusion,vaporwave,Aesthetic,9,DiffusionDB 2M metadata.parquet
2022-08-06,Surreal Editorial,Stable Diffusion,surreal,Concept,26,DiffusionDB 2M metadata.parquet
2022-08-06,Surreal Editorial,Stable Diffusion,surrealism,Concept,1,DiffusionDB 2M metadata.parquet
2022-08-07,3D Render,Stable Diffusion,3d render,Rendering,663,DiffusionDB 2M metadata.parquet
2022-08-07,3D Render,Stable Diffusion,blender,Rendering,74,DiffusionDB 2M metadata.parquet
2022-08-07,3D Render,Stable Diffusion,isometric,Rendering,279,DiffusionDB 2M metadata.parquet
2022-08-07,3D Render,Stable Diffusion,octane render,Rendering,3444,DiffusionDB 2M metadata.parquet
2022-08-07,3D Render,Stable Diffusion,unreal engine,Rendering,1670,DiffusionDB 2M metadata.parquet
2022-08-07,3D Render,Stable Diffusion,zbrush,Rendering,58,DiffusionDB 2M metadata.parquet
